2019-05-16 12:15:10.747+01:00 [15296:025] [INFO] IdleStateModule: sent isIdle = False
2019-05-16 12:16:50.740+01:00 [15296:045] [INFO] IdleStateModule: sent isIdle = False
2019-05-16 12:18:30.738+01:00 [15296:045] [INFO] IdleStateModule: sent isIdle = False
2019-05-16 12:20:10.735+01:00 [15296:025] [INFO] IdleStateModule: sent isIdle = False
2019-05-16 12:21:50.766+01:00 [15296:045] [INFO] IdleStateModule: sent isIdle = False
2019-05-16 12:23:30.757+01:00 [15296:025] [INFO] IdleStateModule: sent isIdle = False
2019-05-16 12:25:10.749+01:00 [15296:025] [INFO] IdleStateModule: sent isIdle = False
2019-05-16 12:26:50.787+01:00 [15296:007] [INFO] IdleStateModule: sent isIdle = False
2019-05-16 12:28:30.764+01:00 [15296:025] [INFO] IdleStateModule: sent isIdle = False
2019-05-16 12:30:10.768+01:00 [15296:039] [INFO] IdleStateModule: state changed to Inactive
2019-05-16 12:30:10.799+01:00 [15296:025] [INFO] IdleStateModule: sent isIdle = True
2019-05-16 12:30:10.815+01:00 [15296:007] [INFO] IdleStateModule: sent isIdle = False
2019-05-16 12:48:10.848+01:00 [15296:043] [INFO] IdleStateModule: state changed to Active
2019-05-16 12:48:10.926+01:00 [15296:025] [INFO] IdleStateModule: sent isIdle = False
2019-05-16 12:49:50.922+01:00 [15296:007] [INFO] IdleStateModule: sent isIdle = False
2019-05-16 12:51:10.876+01:00 [15296:046] [INFO] IdleStateModule: state changed to Inactive
2019-05-16 12:51:10.939+01:00 [15296:025] [INFO] IdleStateModule: sent isIdle = True
2019-05-16 14:13:11.244+01:00 [15296:031] [INFO] IdleStateModule: state changed to Active
2019-05-16 14:13:11.338+01:00 [15296:048] [INFO] IdleStateModule: sent isIdle = False
2019-05-16 14:14:51.309+01:00 [15296:044] [INFO] IdleStateModule: sent isIdle = False
2019-05-16 14:16:11.271+01:00 [15296:020] [INFO] IdleStateModule: state changed to Inactive
2019-05-16 14:16:11.318+01:00 [15296:048] [INFO] IdleStateModule: sent isIdle = True
2019-05-16 15:22:11.592+01:00 [15296:109] [INFO] IdleStateModule: state changed to Active
2019-05-16 15:22:11.676+01:00 [15296:104] [INFO] IdleStateModule: sent isIdle = False
2019-05-16 15:23:51.685+01:00 [15296:104] [INFO] IdleStateModule: sent isIdle = False
2019-05-16 15:25:31.664+01:00 [15296:048] [INFO] IdleStateModule: sent isIdle = False
2019-05-16 15:27:11.677+01:00 [15296:104] [INFO] IdleStateModule: sent isIdle = False
2019-05-16 15:28:51.666+01:00 [15296:048] [INFO] IdleStateModule: sent isIdle = False
2019-05-16 15:30:31.683+01:00 [15296:092] [INFO] IdleStateModule: sent isIdle = False
2019-05-16 15:32:11.709+01:00 [15296:087] [INFO] IdleStateModule: state changed to Inactive
2019-05-16 15:32:11.726+01:00 [15296:086] [ERRO] IdleStateModule: SendSystemIdleStatusUpdateAsync failed: FailureWithException "ConnectionObject.SendMessageAsync [A method was called at an unexpected time.    A method was called at an unexpected time.]"
2019-05-16 15:32:11.769+01:00 [15296:048] [INFO] IdleStateModule: sent isIdle = False
2019-05-16 15:34:11.710+01:00 [15296:085] [INFO] IdleStateModule: state changed to Active
2019-05-16 15:34:11.823+01:00 [15296:048] [INFO] IdleStateModule: sent isIdle = False
